fecha,cierre_martes,fuente_precio,open_interest,noncomm_long,noncomm_short,noncomm_spreads,comm_long,comm_short,nonrep_long,nonrep_short,mm_long,mm_short,mm_spreads,swap_long,swap_short,swap_spreads,prod_long,prod_short,other_long,other_short,other_spreads,conc_4_long,conc_4_short,conc_8_long,conc_8_short,traders_total,traders_noncomm_long,traders_noncomm_short
1987-02-27,405.85,spot,140016,7349,12273,6910,81851,85616,43906,35217,,,,,,,,,,,,17.3,13.3,20.1,19.3,84,15,26
1987-03-13,408.5,spot,145109,10654,10265,7238,79189,87238,48028,40368,,,,,,,,,,,,14.3,13.0,17.8,17.5,88,25,23
1987-03-31,421.0,spot,156832,18464,10076,8573,74906,104113,54889,34070,,,,,,,,,,,,11.4,12.4,15.9,19.9,86,26,20
1987-04-15,444.1,spot,171395,27260,9006,9615,67566,111648,66954,41126,,,,,,,,,,,,10.0,12.2,14.0,20.1,116,49,22
1987-04-30,453.25,spot,175437,24684,12933,9593,64600,104305,76560,48606,,,,,,,,,,,,7.9,11.6,11.2,17.7,114,42,28
1987-05-15,469.9,spot,170819,32997,6294,11069,55854,126196,70899,27260,,,,,,,,,,,,8.7,21.2,12.9,30.9,107,43,18
1987-05-29,451.0,spot,150964,24267,8705,12531,56420,86818,57746,42910,,,,,,,,,,,,9.9,12.5,13.0,18.3,104,39,23
1987-06-15,449.75,spot,149219,20380,11899,14787,57458,83188,56594,39345,,,,,,,,,,,,12.4,13.8,15.6,19.2,107,35,27
1987-06-30,447.3,spot,146960,15476,11621,16824,63817,78120,50843,40395,,,,,,,,,,,,14.1,13.4,18.6,18.3,93,26,22
1987-07-15,452.7,spot,146076,16101,7483,14324,60840,85807,54811,38462,,,,,,,,,,,,12.2,13.9,15.3,19.0,91,29,14
1987-07-31,462.5,spot,150523,23945,6857,12929,60306,102966,53343,27771,,,,,,,,,,,,9.3,13.4,12.6,19.9,106,39,15
1987-08-14,460.0,spot,150693,18612,10402,13257,63626,95033,55198,32001,,,,,,,,,,,,11.8,12.0,14.6,17.3,101,33,18
1987-08-31,453.4,spot,148815,16503,15979,13017,69761,86279,49534,33540,,,,,,,,,,,,15.8,11.6,19.4,17.4,101,31,21
1987-09-15,458.8,spot,146895,16196,12249,12591,70143,93238,47965,28817,,,,,,,,,,,,15.9,12.1,18.7,18.9,96,32,15
1987-09-30,459.5,spot,142634,17083,9981,12216,64861,86977,48474,33460,,,,,,,,,,,,16.0,12.0,19.5,17.9,104,36,19
1987-10-15,466.6,spot,143498,19848,7101,13894,61354,91228,48402,31275,,,,,,,,,,,,16.7,13.6,20.1,20.7,102,36,17
1987-10-30,468.8,spot,133422,15243,9416,14070,65767,80209,38342,29727,,,,,,,,,,,,17.7,13.8,21.2,20.6,98,28,24
1987-11-13,464.95,spot,132803,10867,9427,13482,77616,76183,30838,33711,,,,,,,,,,,,24.2,13.9,28.8,21.7,89,24,20
1987-11-30,492.5,spot,152206,24270,8453,15330,72663,92561,39943,35862,,,,,,,,,,,,21.1,12.7,26.8,19.9,95,34,14
1987-12-15,492.5,spot,158831,20912,9291,16825,81462,96123,39632,36592,,,,,,,,,,,,25.0,15.6,29.2,23.2,103,33,20
1987-12-31,484.1,spot,150106,14523,9354,15990,85947,89586,33646,35176,,,,,,,,,,,,25.4,13.9,30.2,20.7,94,27,18
1988-01-15,480.3,spot,146350,13275,9794,13696,82475,80747,36904,42113,,,,,,,,,,,,25.9,13.0,30.2,19.5,96,29,21
1988-01-29,458.0,spot,146192,9803,19037,12773,93908,69580,29708,44802,,,,,,,,,,,,29.8,11.9,34.2,17.5,101,22,32
1988-02-12,443.6,spot,150569,3759,26630,9589,106136,69098,31085,45252,,,,,,,,,,,,34.5,11.3,40.9,17.5,106,14,43
1988-02-29,426.15,spot,158223,4067,29807,8455,90624,74906,55077,45055,,,,,,,,,,,,22.3,14.3,27.7,20.6,103,14,39
1988-03-15,442.2,spot,161792,6054,23501,11205,92072,82814,52461,44272,,,,,,,,,,,,21.2,14.4,27.1,20.8,96,13,34
1988-03-31,456.95,spot,148310,5401,24023,8840,79820,75633,54249,39814,,,,,,,,,,,,21.6,14.8,26.6,22.7,87,15,32
1988-04-15,456.3,spot,156961,5491,24441,11750,87218,82172,52502,38598,,,,,,,,,,,,21.4,14.5,24.8,21.2,94,14,34
1988-04-29,449.0,spot,154184,2580,19679,10338,117459,84352,23807,39815,,,,,,,,,,,,35.9,13.6,42.3,18.6,95,10,36
1988-05-13,449.5,spot,153681,4835,13402,11580,113514,86621,23752,42078,,,,,,,,,,,,36.6,14.7,43.6,20.5,89,13,28
1988-05-31,455.5,spot,146461,8320,11067,12734,89780,82730,35627,39930,,,,,,,,,,,,24.9,15.1,32.1,20.1,86,21,23
1988-06-15,452.0,spot,142022,7185,10455,10821,86033,79009,37983,41737,,,,,,,,,,,,28.4,15.6,33.3,21.0,89,23,24
1988-06-30,436.55,spot,151645,4658,23026,12595,101902,71375,32490,44649,,,,,,,,,,,,34.1,12.7,39.8,20.4,94,16,35
1988-07-15,439.1,spot,149809,8779,22871,11364,96018,71106,33648,44468,,,,,,,,,,,,31.5,13.2,38.6,20.9,90,17,35
1988-07-29,436.8,spot,139382,3850,18769,8836,99489,68930,27207,42847,,,,,,,,,,,,36.2,12.6,43.5,20.0,84,17,28
1988-08-15,430.25,spot,139252,4761,18548,9307,96217,72158,28967,39239,,,,,,,,,,,,37.3,14.0,42.9,22.0,84,14,31
1988-08-31,427.75,spot,142631,4905,18415,10100,100622,76063,27004,38053,,,,,,,,,,,,37.1,16.3,42.0,23.7,87,14,31
1988-09-15,418.85,spot,155243,3567,27502,9545,109460,66481,32671,51715,,,,,,,,,,,,36.4,13.1,42.5,19.8,94,15,39
1988-09-30,396.7,spot,156546,4427,33064,7433,113359,73347,31327,42702,,,,,,,,,,,,38.1,15.4,42.8,22.6,108,15,48
1988-10-14,407.6,spot,159467,4517,33787,10310,113352,76238,31288,39132,,,,,,,,,,,,37.1,15.2,41.1,22.2,113,17,47
1988-10-31,412.4,spot,160894,4381,31358,10369,118197,79984,27947,39183,,,,,,,,,,,,35.0,16.2,42.9,23.1,103,12,42
1988-11-15,424.0,spot,148897,8125,15896,10630,101825,84867,28317,37504,,,,,,,,,,,,33.3,17.2,39.2,22.6,87,25,20
1988-11-30,422.6,spot,148286,5517,17263,7577,106343,82705,28849,40741,,,,,,,,,,,,35.2,16.6,40.6,21.7,82,15,25
1988-12-15,418.45,spot,145811,5445,17648,9398,107723,79027,23245,39738,,,,,,,,,,,,36.3,16.6,43.0,22.1,91,14,28
1988-12-30,410.25,spot,152731,6837,21800,11368,112108,78299,22418,41264,,,,,,,,,,,,35.6,14.9,43.3,20.0,106,14,39
1989-01-13,405.55,spot,163937,5233,29394,13293,118240,73501,27171,47749,,,,,,,,,,,,38.8,13.8,46.2,19.1,111,13,48
1989-01-31,394.0,spot,170221,5009,37911,17904,125090,67239,22218,47167,,,,,,,,,,,,37.0,12.4,47.8,18.5,110,9,49
1989-02-15,381.0,spot,168943,5828,32830,17013,120632,75634,25470,43466,,,,,,,,,,,,38.0,17.4,46.6,23.2,115,14,47
1989-02-28,387.0,spot,165774,4394,32432,16041,116638,72416,28701,44885,,,,,,,,,,,,35.4,15.7,43.9,21.4,111,13,45
1989-03-15,392.9,spot,165615,6347,25675,16103,108780,81707,34385,42130,,,,,,,,,,,,32.7,17.3,39.6,23.2,105,19,37
1989-03-31,383.2,spot,163649,3422,33947,15505,120884,71844,23838,42353,,,,,,,,,,,,39.4,15.5,47.3,22.1,109,12,46
1989-04-14,386.2,spot,158340,6079,29001,15817,106915,69206,29529,44316,,,,,,,,,,,,39.0,16.7,47.1,23.1,107,16,41
1989-04-28,377.55,spot,168488,2448,32920,18276,121679,70134,26085,47158,,,,,,,,,,,,39.1,15.3,47.8,22.3,103,8,42
1989-05-15,373.8,spot,188114,6010,30245,16420,136797,87394,28887,54055,,,,,,,,,,,,34.2,14.0,43.4,19.1,108,10,43
1989-05-31,361.8,spot,179513,3414,28885,13509,139249,86952,23341,50167,,,,,,,,,,,,35.3,13.7,42.8,19.0,95,7,36
1989-06-15,361.5,spot,163699,5891,24023,13325,121475,85527,23008,40824,,,,,,,,,,,,35.1,15.0,42.4,20.0,98,15,30
1989-06-30,373.0,spot,157858,8381,21462,12453,111938,86700,25086,37243,,,,,,,,,,,,33.7,16.8,40.9,22.3,96,18,25
1989-07-14,370.8,spot,154241,7662,19453,13567,105367,81687,27645,39534,,,,,,,,,,,,29.5,15.4,36.0,21.1,97,19,25
1989-07-31,368.3,spot,148279,3696,18587,13920,107310,71153,23353,44619,,,,,,,,,,,,33.3,13.7,40.1,18.4,87,8,30
1989-08-15,366.1,spot,147488,6197,20394,14160,104463,75201,22668,37733,,,,,,,,,,,,33.9,14.5,41.8,19.6,89,9,34
1989-08-31,359.8,spot,156595,3477,28851,14262,117348,71879,21508,41603,,,,,,,,,,,,34.4,13.7,40.6,18.9,95,6,39
1989-09-15,355.75,spot,154493,10113,23924,13170,104836,73183,26374,44216,,,,,,,,,,,,30.1,12.6,38.4,18.1,91,8,31
1989-09-29,366.5,spot,147468,5134,16802,13553,97489,82389,31292,34724,,,,,,,,,,,,27.5,13.6,32.7,20.7,91,13,21
1989-10-13,363.2,spot,143681,3906,20467,13857,103066,75001,22852,34356,,,,,,,,,,,,30.5,12.0,36.0,18.2,86,7,26
1989-10-31,375.3,spot,151142,15567,12768,14529,84825,90281,36221,33564,,,,,,,,,,,,14.2,10.9,19.1,18.1,107,36,15
1989-11-15,391.4,spot,153379,22440,9204,13667,71252,95573,46020,34935,,,,,,,,,,,,11.7,16.9,15.4,23.1,102,39,12
1989-11-30,408.15,spot,147759,28985,11049,13907,58418,89124,46449,33679,,,,,,,,,,,,12.3,16.0,16.9,24.3,116,47,21
1989-12-15,412.75,spot,156019,30438,8513,14939,62011,97361,48631,35206,,,,,,,,,,,,12.7,20.2,17.8,27.5,117,45,20
1989-12-29,398.6,spot,150931,22982,8581,15233,74736,91444,37980,35673,,,,,,,,,,,,16.7,18.6,22.6,24.1,108,32,22
1990-01-15,415.6,spot,149393,21782,5238,15746,65795,93951,46070,34458,,,,,,,,,,,,14.7,19.3,20.8,24.8,101,29,15
1990-01-31,415.05,spot,131994,13694,7321,16174,58218,76338,43908,32161,,,,,,,,,,,,15.3,16.3,19.7,23.6,91,27,11
1990-02-15,416.65,spot,130564,20315,5565,12665,53767,76179,43817,36155,,,,,,,,,,,,13.2,16.3,18.5,22.9,104,35,13
1990-02-28,407.7,spot,121920,11965,8989,12390,57161,63372,40404,37169,,,,,,,,,,,,14.8,13.7,19.9,18.1,96,25,21
1990-03-15,399.5,spot,132871,13967,18303,11472,65716,66537,41716,36559,,,,,,,,,,,,17.9,13.7,23.4,18.8,103,25,35
1990-03-30,368.5,spot,116812,9414,21463,9224,66504,50523,31670,35602,,,,,,,,,,,,23.1,13.1,29.5,17.4,102,22,35
1990-04-12,375.5,spot,118177,7110,21181,8860,73591,56269,28616,31867,,,,,,,,,,,,26.5,14.0,33.2,19.0,99,18,36
1990-04-30,367.75,spot,123601,6364,20632,7917,80985,59142,28335,35910,,,,,,,,,,,,29.7,12.4,35.9,17.6,99,15,33
1990-05-15,367.75,spot,118492,5297,19403,7834,75378,52444,29983,38811,,,,,,,,,,,,29.2,13.0,36.0,18.1,91,14,32
1990-05-31,363.05,spot,104625,5233,18710,7787,63869,44851,27736,33277,,,,,,,,,,,,22.1,13.9,30.7,18.5,91,11,33
1990-06-15,346.9,spot,117247,4110,26452,7378,80735,46810,25024,36607,,,,,,,,,,,,33.1,15.7,42.1,20.7,98,9,44
1990-06-29,352.2,spot,112142,4316,20190,7250,73148,50545,27428,34157,,,,,,,,,,,,26.3,14.9,35.3,19.5,94,9,35
1990-07-13,363.6,spot,107275,5878,15214,8213,64335,52652,28849,31196,,,,,,,,,,,,18.6,16.8,27.7,22.1,87,12,25
1990-07-31,372.3,spot,98923,8016,5875,8805,50139,56633,31963,27610,,,,,,,,,,,,11.4,17.4,18.5,21.6,81,21,12
1990-08-15,398.4,spot,125895,23830,7522,9581,43347,75837,49137,32955,,,,,,,,,,,,11.9,18.7,16.4,25.6,96,30,15
1990-08-31,387.75,spot,123147,20892,10597,9128,50615,74660,42512,28762,,,,,,,,,,,,11.7,17.7,16.8,25.6,96,25,19
1990-09-14,386.2,spot,113077,13775,7718,9579,55320,66701,34403,29079,,,,,,,,,,,,13.0,16.7,19.2,22.5,89,19,18
1990-09-28,408.4,spot,116620,24684,3187,8603,42594,81102,40739,23728,,,,,,,,,,,,9.9,27.0,14.5,35.8,94,34,7
1990-10-15,380.7,spot,116656,17794,9063,9502,56851,63409,32509,34682,,,,,,,,,,,,12.1,18.1,19.4,23.6,92,22,20
1990-10-31,379.5,spot,114534,10974,9392,11086,61123,60718,31351,33338,,,,,,,,,,,,13.1,15.1,19.7,19.3,91,17,21
1990-11-15,378.0,spot,111194,5893,8204,8323,66635,61633,30343,33034,,,,,,,,,,,,15.7,14.6,21.3,19.6,86,16,20
1990-11-30,384.85,spot,101946,7264,6135,8618,58680,59946,27384,27247,,,,,,,,,,,,15.4,16.0,21.4,21.8,73,15,15
1990-12-14,373.2,spot,111586,4781,10532,9108,75789,60314,21908,31632,,,,,,,,,,,,19.1,9.9,25.4,14.4,76,10,19
1990-12-31,386.2,spot,107610,9228,4426,10125,60179,70360,28078,22699,,,,,,,,,,,,12.2,12.5,16.2,17.4,77,20,9
1991-01-15,398.5,spot,118173,17648,6122,7647,53902,78605,38976,25799,,,,,,,,,,,,10.2,16.8,14.4,25.2,86,30,9
1991-01-31,366.0,spot,93496,2044,14302,4645,62619,44343,24188,30206,,,,,,,,,,,,20.2,13.9,27.5,18.3,76,8,25
1991-02-15,365.5,spot,95750,2515,16880,5666,66286,42163,21283,31041,,,,,,,,,,,,24.2,15.5,32.7,19.9,81,7,31
1991-02-28,362.7,spot,98025,1612,16447,5212,68140,42842,23061,33524,,,,,,,,,,,,27.4,15.8,34.9,22.6,75,6,26
1991-03-15,366.0,spot,98708,3111,14868,5314,64098,48855,26185,29671,,,,,,,,,,,,22.9,14.0,29.3,20.9,77,9,21
1991-03-28,355.65,spot,102541,1724,21208,6191,72228,39820,22398,35322,,,,,,,,,,,,29.3,12.6,39.0,18.7,86,6,34
1991-04-15,360.1,spot,97290,4002,18163,6407,65132,43436,21749,29284,,,,,,,,,,,,26.8,14.3,37.3,22.2,77,9,27
1991-04-30,357.75,spot,108217,4300,25710,6487,76391,44499,21039,31521,,,,,,,,,,,,28.7,13.7,41.9,21.0,93,9,39
1991-05-15,359.85,spot,99903,6949,17450,5236,63768,49088,23950,28129,,,,,,,,,,,,19.9,15.2,29.0,22.2,84,18,22
1991-05-31,360.4,spot,91485,8125,17440,3149,54483,44089,25728,26807,,,,,,,,,,,,19.9,15.3,26.2,22.6,79,21,19
1991-06-14,367.75,spot,91953,19823,11956,2258,34066,52219,35806,25520,,,,,,,,,,,,13.0,21.5,21.4,28.7,85,29,15
1991-06-28,368.35,spot,87349,18540,9247,5574,34622,48041,28613,24487,,,,,,,,,,,,14.2,24.5,23.0,31.4,73,25,10
1991-07-15,367.8,spot,95164,19663,9095,6785,36268,54405,32448,24879,,,,,,,,,,,,12.0,27.7,22.2,34.1,83,26,13
1991-07-31,362.85,spot,87490,12649,15454,6959,42988,36950,24894,28127,,,,,,,,,,,,16.8,16.2,28.9,21.0,92,19,32
1991-08-15,358.35,spot,101756,12421,27321,6781,62082,33916,20472,33738,,,,,,,,,,,,25.5,15.5,36.8,21.8,106,15,42
1991-08-30,347.4,spot,107993,7227,31854,7122,73497,33794,20147,35223,,,,,,,,,,,,30.5,13.5,41.4,18.2,106,12,44
1991-09-16,345.4,spot,107449,7736,29869,8244,70495,36166,20974,33170,,,,,,,,,,,,31.0,13.7,40.1,19.4,97,10,41
1991-09-30,354.9,spot,97904,9403,20755,7224,55772,40650,25505,29275,,,,,,,,,,,,26.9,15.1,33.6,21.9,96,19,31
1991-10-15,357.55,spot,92152,11464,9834,9873,44529,48658,26286,23787,,,,,,,,,,,,23.5,12.4,28.5,21.0,87,25,19
1991-10-31,357.45,spot,100311,13595,10032,11172,47307,54327,28237,24780,,,,,,,,,,,,24.5,13.4,28.3,21.0,90,26,23
1991-11-15,355.5,spot,103034,10191,13131,11186,56116,50752,25541,27965,,,,,,,,,,,,25.6,10.3,31.2,16.7,88,16,30
1991-11-29,366.3,spot,115496,32242,4002,12829,34930,75660,35495,23005,,,,,,,,,,,,11.9,19.2,18.3,27.9,100,45,13
1991-12-13,359.05,spot,103659,16792,6313,12304,46254,61304,28309,23738,,,,,,,,,,,,14.0,14.3,18.9,21.2,85,25,19
1991-12-31,353.15,spot,114144,9018,13620,12697,70346,57166,22083,30661,,,,,,,,,,,,14.0,7.2,21.4,11.5,99,17,38
1992-01-15,355.55,spot,104052,11190,15685,8932,60556,48784,23374,30651,,,,,,,,,,,,17.7,13.2,24.7,18.2,93,20,30
1992-01-31,354.1,spot,102940,13351,12438,10418,54833,53562,24338,26522,,,,,,,,,,,,20.1,15.2,27.6,22.2,87,24,18
1992-02-14,354.1,spot,100473,13917,13429,10479,52162,50194,23915,26371,,,,,,,,,,,,22.9,16.2,31.1,24.0,83,20,22
1992-02-28,353.1,spot,102931,12912,19139,10860,55362,47033,23797,25899,,,,,,,,,,,,22.5,13.6,30.3,19.5,100,20,35
1992-03-13,347.25,spot,113645,11724,26279,10541,62242,48439,29138,28386,,,,,,,,,,,,23.4,14.6,30.4,20.5,106,20,42
1992-03-31,341.7,spot,103658,10876,23488,8247,60693,42566,23842,29357,,,,,,,,,,,,28.2,14.7,33.8,21.0,105,22,34
1992-04-15,338.95,spot,109312,4260,29372,8526,72591,42019,23935,29395,,,,,,,,,,,,26.5,12.6,32.3,18.2,107,14,43
1992-04-30,336.35,spot,113724,9025,27004,10019,68658,46656,26022,30045,,,,,,,,,,,,28.6,13.1,35.9,21.2,101,15,38
1992-05-15,339.0,spot,109747,10494,18809,8375,61619,52312,29259,30251,,,,,,,,,,,,26.5,14.5,32.0,21.3,91,20,24
1992-05-29,337.5,spot,102788,6295,22164,7629,61668,45653,27196,27342,,,,,,,,,,,,28.2,13.4,33.5,20.1,90,15,30
1992-06-15,342.7,spot,103229,16252,9864,8989,44841,60652,33147,23724,,,,,,,,,,,,17.3,13.0,21.9,20.8,101,35,15
1992-06-30,343.4,spot,91162,13062,9401,8908,36761,51484,32431,21369,,,,,,,,,,,,15.5,14.1,20.6,20.5,85,20,20
1992-07-15,350.9,spot,111763,29782,5632,10521,31806,74286,39654,21324,,,,,,,,,,,,10.2,18.0,15.2,25.5,106,42,15
1992-07-31,357.85,spot,112384,32345,6932,9586,32110,76128,38343,19738,,,,,,,,,,,,10.7,21.9,16.6,31.7,117,48,19
1992-08-14,335.7,spot,102784,6668,19887,9825,60889,44540,25402,28532,,,,,,,,,,,,25.6,11.4,31.3,17.5,101,15,35
1992-08-31,340.0,spot,99349,6194,19845,8798,60763,44304,23594,26402,,,,,,,,,,,,30.6,10.8,35.4,18.3,103,17,36
1992-09-15,345.9,spot,100717,5167,13592,9023,59957,53290,26570,24812,,,,,,,,,,,,34.9,15.8,38.4,24.3,83,14,20
1992-09-30,349.0,spot,99191,6206,8706,10547,56577,56161,25861,23777,,,,,,,,,,,,31.3,16.5,34.3,23.1,84,19,15
1992-10-06,350.3,spot,101946,6573,8550,11071,55250,59291,29052,23034,,,,,,,,,,,,28.4,16.8,30.8,23.6,88,24,15
1992-10-13,343.75,spot,101717,5552,10250,10321,63340,56536,22504,24610,,,,,,,,,,,,32.5,15.5,35.4,22.1,87,19,16
1992-10-20,343.5,spot,99420,3774,12210,9818,64490,52513,21338,24879,,,,,,,,,,,,33.1,9.8,36.1,16.0,85,15,22
1992-10-27,338.25,spot,108776,3248,18553,7615,74709,51524,23204,31084,,,,,,,,,,,,29.6,6.6,34.1,12.1,87,12,27
1992-11-03,338.6,spot,106734,3350,20778,6754,72969,49814,23661,29388,,,,,,,,,,,,28.5,7.0,32.9,12.7,91,10,31
1992-11-10,330.35,spot,116747,5307,27347,6870,76352,50427,28218,32103,,,,,,,,,,,,23.6,7.1,28.0,12.2,101,14,37
1992-11-17,334.3,spot,112935,4157,25377,7370,72936,47126,28472,33062,,,,,,,,,,,,21.4,7.4,26.7,12.2,94,10,36
1992-11-24,334.3,spot,108774,3396,23825,7217,70339,46797,27822,30935,,,,,,,,,,,,22.2,7.6,27.4,12.3,86,8,36
1992-12-01,334.65,spot,98384,2612,24775,6462,64665,39077,24645,28070,,,,,,,,,,,,23.3,9.2,28.8,14.6,83,7,36
1992-12-08,335.25,spot,96886,3555,22253,5895,59900,40700,27536,28038,,,,,,,,,,,,21.7,10.6,27.4,16.8,83,10,33
1992-12-15,334.9,spot,99913,3231,22110,6536,63847,43574,26299,27693,,,,,,,,,,,,22.8,11.1,29.3,16.2,89,10,35
1992-12-22,332.6,spot,103836,6638,21541,7375,63632,46547,26191,28373,,,,,,,,,,,,17.0,10.0,24.8,15.8,90,13,32
1992-12-29,332.5,spot,107682,5600,24445,7460,70347,47847,24275,27930,,,,,,,,,,,,20.3,11.1,28.8,17.1,94,11,37
1993-01-05,328.6,spot,113329,5051,26772,7355,76298,48961,24625,30241,,,,,,,,,,,,22.5,9.6,31.1,15.5,94,9,41
1993-01-12,329.2,spot,113657,3937,31804,6072,78498,43962,25150,31819,,,,,,,,,,,,25.0,10.9,33.3,16.5,92,8,40
1993-01-19,329.0,spot,115828,3271,31316,6670,79009,45458,26878,32384,,,,,,,,,,,,24.8,10.2,32.4,15.6,95,8,41
1993-01-26,330.9,spot,109548,3778,25046,6262,71146,46785,28362,31455,,,,,,,,,,,,24.7,11.3,31.6,17.4,92,11,36
1993-02-02,329.65,spot,104396,4374,22919,7359,69104,45450,23559,28668,,,,,,,,,,,,23.0,11.4,32.4,18.0,89,13,32
1993-02-09,328.05,spot,113003,4978,23564,6394,77411,51955,24220,31090,,,,,,,,,,,,26.6,10.9,33.7,16.9,96,14,35
1993-02-16,329.45,spot,111624,6559,17211,6920,66797,62861,31348,24632,,,,,,,,,,,,21.9,11.5,26.5,18.2,100,15,31
1993-02-23,329.6,spot,108001,6419,15221,6113,66329,58746,29140,27921,,,,,,,,,,,,21.6,10.5,27.1,16.5,89,12,24
1993-03-02,329.15,spot,109864,5831,19213,6335,71241,58300,26457,26016,,,,,,,,,,,,23.7,10.6,28.9,18.0,90,11,26
1993-03-09,326.95,spot,118364,5010,29273,5694,80433,49849,27227,33548,,,,,,,,,,,,28.4,10.2,34.7,16.8,97,11,37
1993-03-16,329.0,spot,118169,10013,25153,6099,73169,53417,28888,33500,,,,,,,,,,,,23.2,10.6,29.9,16.8,97,13,33
1993-03-23,331.9,spot,112481,16471,14010,5881,52355,64122,37774,28468,,,,,,,,,,,,17.1,12.1,22.8,18.6,97,24,19
1993-03-30,334.4,spot,127614,32032,9314,6634,45502,86772,43446,24894,,,,,,,,,,,,12.6,20.7,18.5,27.1,110,37,17
1993-04-06,338.4,spot,134202,44080,3972,6386,40345,100146,43391,23698,,,,,,,,,,,,14.5,24.1,20.5,32.9,114,49,11
1993-04-13,336.7,spot,134188,44184,3174,5975,41368,102372,42661,22667,,,,,,,,,,,,13.8,24.4,20.0,32.7,113,49,9
1993-04-20,339.9,spot,137431,43522,7029,6281,43678,101029,43950,23092,,,,,,,,,,,,13.2,23.8,19.7,31.1,119,49,13
1993-04-27,351.4,spot,156996,57655,7490,7080,49008,121077,43253,21349,,,,,,,,,,,,13.3,23.1,20.0,30.2,131,56,17
